,Phone Name,RAM,ROM,Back Camera,Front_Camera,Battery,Processor,Price
887,"Xiaomi 11Lite NE (Jazz Blue, 128 GB)",6,128,64,20,4250 mAh,Qualcomm Snapdragon 778G Processor,"₹21,499"
888,"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)",6,128,64,20,4250 mAh,Qualcomm Snapdragon 778G Processor,"₹22,500"
889,"Redmi 6A (Blue, 16 GB)",2,16,13,5,3000 mAh,1 Year Manufacturer Warranty,"₹6,495"
890,"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)",8,128,64,20,4250 mAh,Qualcomm Snapdragon 778G Processor,"₹22,800"
891,"Xiaomi 11i 5G (Stealth Black, 128 GB)",6,128,108,16,5160 mAh,Mediatek Dimensity 920 Processor,"₹24,999"
892,"Redmi 1S (Metal Gray, 8 GB)",1,8,8,1,2000 mAh,MSM8228 Processor,"₹5,999"
893,"Redmi Note 4 (Dark Grey, 32 GB)",3,32,13,5,4100 mAh,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,"₹10,649"
894,"Xiaomi 11Lite NE (Vinyl Black, 128 GB)",8,128,64,20,4250 mAh,Qualcomm Snapdragon 778G Processor,"₹22,990"
895,"Redmi Note 7S (Sapphire Blue, 32 GB)",3,32,48,13,4000 mAh,Qualcomm Snapdragon 660 AIE Processor,"₹11,999"
896,"Redmi K20 (Pearl White, 64 GB)",6,64,48,20,4000 mAh,Qualcomm Snapdragon 730 Processor,"₹22,999"
897,"Redmi 9A (Midnight Black, 32 GB)",3,32,13,5,5000 mAh,MediaTek Helio G25 Processor,"₹7,079"
898,"Redmi 8A (Midnight Black, 32 GB)",3,32,12,8,5000 mAh,Qualcomm Snapdragon 439 Processor,"₹8,999"
899,"Redmi 3S (Silver, 16 GB)",2,16,13,5,4100 mAh,Qualcomm Snapdragon 430 64-bit Octa Core 1.4GHz Processor,"₹6,999"
900,"Redmi 3S (Gold, 16 GB)",2,16,13,5,4100 mAh,Qualcomm Snapdragon 430 64-bit Octa Core 1.4GHz Processor,"₹6,999"
901,"Mi Max (Gold, 32 GB)",3,32,16,5,4850 mAh,Qualcomm Snapdragon 650 64-bit Processor,"₹14,999"
902,"Redmi 9A (Sea Blue, 32 GB)",3,32,13,5,5000 mAh,MediaTek Helio G25 Processor,"₹7,290"
903,"Mi 5 (Gold, 32 GB)",3,32,16,4,3000 mAh,Snapdragon 820 Kryo Processor,"₹24,999"
904,"Mi Max (Silver, 32 GB)",3,32,16,5,4850 mAh,Qualcomm Snapdragon 650 64-bit Processor,"₹14,999"
905,"Redmi 3S (Dark Grey, 16 GB)",2,16,13,5,4100 mAh,Qualcomm Snapdragon 430 64-bit Octa Core 1.4GHz Processor,"₹6,999"
906,"Mi Max (Dark Grey, 32 GB)",3,32,16,5,4850 mAh,Qualcomm Snapdragon 650 64-bit Processor,"₹14,999"
907,"Mi 5 (White, 32 GB)",3,32,16,4,3000 mAh,Snapdragon 820 Kryo Processor,"₹24,999"
908,"Mi Max (Gold, 32 GB)",3,32,16,5,4850 mAh,Qualcomm Snapdragon 650 64-bit Processor,"₹14,999"
909,"Mi 4i (Blue, 16 GB)",2,16,13,5,3030 mAh,2nd-gen Snapdragon 615 64-bit octa-core Processor,"₹12,999"
910,"Xiaomi 11i 5G (Purple Mist, 128 GB)",6,128,108,16,5160 mAh,Mediatek Dimensity 920 Processor,"₹24,999"
911,"Redmi K20 Pro (Pearl White, 256 GB)",8,256,48,20,4000 mAh,Qualcomm Snapdragon 855 Processor,"₹31,999"
912,"Mi Max (Silver, 32 GB)",3,32,16,5,4850 mAh,Qualcomm Snapdragon 650 64-bit Processor,"₹14,999"
913,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)",8,128,108,16,4500 mAh,Mediatek Dimensity 920 Processor,"₹28,999"
914,"Mi 5 (Gold, 32 GB)",3,32,16,4,3000 mAh,Snapdragon 820 Kryo Processor,"₹24,999"
915,"Redmi 8A (Sunset Red, 32 GB)",3,32,12,8,5000 mAh,Qualcomm Snapdragon 439 Processor,"₹7,990"
916,"Redmi 8A Dual (Sky White, 64 GB)",3,64,13,8,5000 mAh,Qualcomm Snapdragon 439 Processor,"₹9,999"
917,"Mi 5 (Black, 32 GB)",3,32,16,4,3000 mAh,Snapdragon 820 Kryo Processor,"₹24,999"
918,"Redmi Y2 (Blue, 64 GB)",4,64,12,16,3080 mAh,Qualcomm Snapdragon 625 Processor,"₹10,999"
919,"Redmi Note 5 (Blue, 64 GB)",4,64,12,5,4000 mAh,Qualcomm Snapdragon 625 Processor,"₹11,999"
920,"Redmi K20 Pro (Carbon Black, 256 GB)",8,256,48,20,4000 mAh,Qualcomm Snapdragon 855 Processor,"₹31,999"
921,"Mi 4i (Grey, 32 GB)",2,32,13,5,3120 mAh,2nd-gen Snapdragon 615 64-bit octa-core Processor,"₹14,999"
922,"Mi A2 (Red, 64 GB)",4,64,20,20,3010 mAh,Qualcomm Snapdragon 660 AIE Processor,"₹17,499"
923,"Mi 10i (Midnight Black, 64 GB)",6,64,108,16,4820 mAh,Qualcomm® Snapdragon™ 750G Processor,"₹23,999"
924,"Mi A2 (Rose Gold, 64 GB)",4,64,20,20,3010 mAh,Qualcomm Snapdragon 660 AIE Processor,"₹17,499"
925,"Mi 4i (Yellow, 16 GB)",2,16,13,5,3030 mAh,2nd-gen Snapdragon 615 64-bit octa-core Processor,"₹12,999"
926,"Redmi Y2 (Rose Gold, 64 GB)",4,64,12,16,3080 mAh,Qualcomm Snapdragon 625 Processor,"₹13,499"
927,"Redmi 4A (Dark Grey, 32 GB)",3,32,13,5,3120 mAh,Qualcomm Snapdragon 425 1.4 GHz Processor,"₹6,999"
928,"Redmi 7A (Matte Black, 16 GB)",2,16,12,5,4000 mAh,Qualcomm Snapdragon 439 Processor,"₹6,499"
929,"Mi A3 (More Than White, 128 GB)",6,128,48,32,4030 mAh,Qualcomm Snapdragon 665 Processor,"₹17,499"
930,"Redmi 6 (Gold, 64 GB)",3,64,12,5,3000 mAh,2.0 GHz Mediatek P22 Octacore Processor,"₹10,499"
931,"Redmi 7A (Matte Gold, 16 GB)",2,16,12,5,4000 mAh,Qualcomm Snapdragon 439 Processor,"₹6,499"
932,"Redmi 7A (Matte Gold, 32 GB)",2,32,12,5,4000 mAh,Qualcomm Snapdragon 439 Processor,"₹6,999"
933,"Redmi 7A (Matte Black, 32 GB)",2,32,12,5,4000 mAh,Qualcomm Snapdragon 439 Processor,"₹6,999"
934,"Redmi K20 Pro (Flame Red, 256 GB)",8,256,48,20,4000 mAh,Qualcomm Snapdragon 855 Processor,"₹31,999"
935,"Redmi Note 7S (Onyx Black, 64 GB)",4,64,48,13,4000 mAh,Qualcomm Snapdragon 660 AIE Processor,"₹13,999"
936,"Mi 11 Lite (Jazz Blue, 128 GB)",6,128,64,16,4250 mAh,Qualcomm Snapdragon 732G Processor,"₹21,999"
937,"Redmi Note 6 Pro (Black, 64 GB)",6,64,12,20,4000 mAh,Qualcomm Snapdragon 636 Processor,"₹17,999"
938,"Redmi 3S Prime (Gold, 32 GB)",3,32,13,5,4100 mAh,Qualcomm Snapdragon 430 64-bit Octa Core 1.4GHz Processor,"₹8,999"
939,"Redmi 6 (Blue, 64 GB)",3,64,12,5,3000 mAh,2.0 GHz Mediatek P22 Octacore Processor,"₹10,499"
940,"Redmi K20 (Glacier Blue, 128 GB)",6,128,48,20,4000 mAh,Qualcomm Snapdragon 730 Processor,"₹24,999"
941,"Redmi 6 (Black, 32 GB)",3,32,12,5,3000 mAh,2.0 GHz Mediatek P22 Octacore Processor,"₹8,999"
